Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,0.768701472
Wikipedia,273881,"Be that as it may, and not to quibble with your block, but I did some research and I've found that this puppeteer does in fact exist - the Washington Post described him as a ""master"", for instance, and Woodcarver Online calls him a ""leading puppet artist"". May I ask why you decided that the creation of the article was indicative of socklike behavior?",5,9,13,13,17,A1486XFUE4FA27,A9Y5N2QRY4PNW,AE3D6SE2D8UPQ,A2UBXHCHM2I6IL,A2MR8AA4I9S89Y,-0.328623115,11.4,Rude,0.000137997
Wikipedia,95565,"Tom, that article is ready for publication, was written by someone else, and your changes aren't improving it.  Did MER-C ask you to work on it?",5,5,1,5,13,AZN83WTGUR1JZ,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A2QH1BQA6GR48O,AIPK94CUWL45W,-1.830424881,5.8,Rude,0.001148041
Wikipedia,630046,No kidding.  Perhaps you could be troubled to point out the parts you consider to be actionable as 'spam'?,9,5,9,15,8,A233ONYNWKDIYF,AISPSIJ54U4SC,A199E33VY97TR,A3T3VES112CGFO,A1F4D2PZ7NNWTL,-1.000721808,9.2,Rude,0.001513787
Wikipedia,618948,Good point - I was unaware of that. Perhaps then you should include a short reference to Aquitanian in the sentence?,17,17,17,21,18,A233ONYNWKDIYF,A1QV3X9YMQQ3OQ,A3OW54MEVDKXJL,A1JK9DYKWYZZEK,AZ1RJVNOZFIWV,0.82220377,18,Polite,0.002306334
Wikipedia,86195,"What ""fact"" that was recently prooved is referred to?  And since when is pi the ratio of circumference to radius, rather than circumference to diameter?",9,17,13,9,6,A233ONYNWKDIYF,ANMGOZ451W9ZN,AYG3MF094634L,A1RT9SQ9D9DLOV,A1NJCF3NH6RQGU,-0.775550086,10.8,Rude,0.002864425
Wikipedia,504533,I haven't tagged/assessed anything in quite some time. Which article are you referring to?,17,17,17,15,17,ANGX5PAAYGL9P,ANMGOZ451W9ZN,A1KC138MX47DXA,A1F4D2PZ7NNWTL,AZ1RJVNOZFIWV,0.34142585,16.6,Polite,0.005042578
Wikipedia,470722,"On your Citation templates subpage you have the statement ""CS1 and CS2 both use <person> as a meta-template and are variants of APA style."" In the past I have had experienced editors tell me this, but none of them could point to any documentation or contemporaneous discussion to verify this statement. Can you point me to any confirmation of this statement?",21,17,21,15,13,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,AIPK94CUWL45W,0.766155486,17.4,Polite,0.00508019
Wikipedia,627311,"What, my dear, will change the fact of your poor anargumentative technique??",5,1,3,4,7,A233ONYNWKDIYF,A22SZHZTF72TRM,A3BA2LVL6Y7YO7,AVHARSCRX7M9E,AMJAP6BGF5LVM,-2.152445625,4,Rude,0.005148458
Wikipedia,528379,"Why was <url> deleted when it was simply a crop of <url> which is public domain? I'm pretty sure I wrote that on the description page, but if not, can it be restored?",13,15,9,10,13,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A13CO3B2BRXQLZ,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,-0.44412657,12,Rude,0.005386363
Wikipedia,231696,"I should be able to get that Mayr paper, it's on Wiley. Do you need me to email it to you?",17,21,16,17,13,A2UFD1I8ZO1V4G,A1T546143DSJDI,AYG3MF094634L,A2LQ33BQ8G259D,A1Y3Z92RE62NPS,0.634138323,16.8,Polite,0.006131385
